table_id,metric_name,value
T4,m4_fep10_m60_0,28.170198170109305
T4,m1_fep10_p1_60,1.2233241543467432
T4,m2_fep10_p1_60,1.786741680181459
T4,m3_fep10_p1_60,0.5000460053214811
T4,m4_fep10_p1_60,-0.9252531488131868
T6,m2_fep1_q1_m1_0,-2.3359076197801265
T6,m2_fep1_q2_m1_0,-1.413963711236638
T6,m2_fep1_q3_m1_0,-1.1599183170763911
T6,m2_fep1_q4_m1_0,-0.9356122215371618
T6,m2_fep1_q5_m1_0,-0.5031969704228121
T6,m2_fep1_q1_m60_0,-6.237675223106295
T6,m2_fep1_q2_m60_0,-4.930160345550401
T6,m2_fep1_q3_m60_0,-3.259039923409172
T6,m2_fep1_q4_m60_0,-2.519407014800867
T6,m2_fep1_q5_m60_0,-1.4168295907203716
T6,m2_fep1_q1_p1_60,-1.8452461814192522
T6,m2_fep1_q2_p1_60,-1.5680830606900076
T6,m2_fep1_q3_p1_60,-1.3785935397020415
T6,m2_fep1_q4_p1_60,-1.2145986403391762
T6,m2_fep1_q5_p1_60,0.12563435821079932
T6,m2_fep2_q1_m1_0,-1.3336536470209839
T6,m2_fep2_q2_m1_0,-1.1601590996920863
T6,m2_fep2_q3_m1_0,-0.7098228829255182
T6,m2_fep2_q4_m1_0,-0.6080511427055529
T6,m2_fep2_q5_m1_0,-0.5528858763494462
T6,m2_fep2_q1_m60_0,-3.5462683691032635
T6,m2_fep2_q2_m60_0,-4.106023049326537
T6,m2_fep2_q3_m60_0,-3.1648115382129984
T6,m2_fep2_q4_m60_0,-2.4105902688901617
T6,m2_fep2_q5_m60_0,-1.6247492113203719
T6,m2_fep2_q1_p1_60,-2.5739588715873483
T6,m2_fep2_q2_p1_60,-1.4345539600619897
T6,m2_fep2_q3_p1_60,-1.5677623190232866
T6,m2_fep2_q4_p1_60,-1.0891617057356673
T6,m2_fep2_q5_p1_60,-0.6370648375747638
T6,m2_fep3_q1_m1_0,-1.0171266861319943
T6,m2_fep3_q2_m1_0,-0.8879122430325461
T6,m2_fep3_q3_m1_0,-0.7449018344709578
T6,m2_fep3_q4_m1_0,-0.38716756439853767
T6,m2_fep3_q5_m1_0,-0.5665905094589457
T6,m2_fep3_q1_m60_0,-3.0344260460324133
T6,m2_fep3_q2_m60_0,-2.747897840122783
T6,m2_fep3_q3_m60_0,-2.004697219991288
T6,m2_fep3_q4_m60_0,-1.2508484289713895
T6,m2_fep3_q5_m60_0,-1.1071129577616527
T6,m2_fep3_q1_p1_60,-1.147142855322398
T6,m2_fep3_q2_p1_60,-1.5092792313315462
T6,m2_fep3_q3_p1_60,-0.9007103214003241
T6,m2_fep3_q4_p1_60,-1.339663357363798
T6,m2_fep3_q5_p1_60,-0.34598287748731954
T6,m2_fep4_q1_m1_0,-0.5274788207188845
T6,m2_fep4_q2_m1_0,-0.46897070899725357
T6,m2_fep4_q3_m1_0,-0.32359561147015575
T6,m2_fep4_q4_m1_0,-0.28428622946353127
T6,m2_fep4_q5_m1_0,-0.27526684324841577
T6,m2_fep4_q1_m60_0,-0.7751695300204858
T6,m2_fep4_q2_m60_0,-1.7582836692863608
T6,m2_fep4_q3_m60_0,-0.6451445248967564
T6,m2_fep4_q4_m60_0,-0.6528232569813939
T6,m2_fep4_q5_m60_0,-0.6717274271081529
T6,m2_fep4_q1_p1_60,-1.213008734726493
T6,m2_fep4_q2_p1_60,-0.4039535700402319
T6,m2_fep4_q3_p1_60,-0.7426663961829121
T6,m2_fep4_q4_p1_60,-0.28379705568520885
T6,m2_fep4_q5_p1_60,-0.645835727145806
T6,m2_fep5_q1_m1_0,0.1181429641476615
T6,m2_fep5_q2_m1_0,-0.17038421053732788
T6,m2_fep5_q3_m1_0,-0.16343676248420186
T6,m2_fep5_q4_m1_0,-0.08125467809910358
T6,m2_fep5_q5_m1_0,0.03363524851650197
T6,m2_fep5_q1_m60_0,0.6165125242124165
T6,m2_fep5_q2_m60_0,-0.43578429824419435
T6,m2_fep5_q3_m60_0,-0.13627833871383116
T6,m2_fep5_q4_m60_0,0.18482988806335807
T6,m2_fep5_q5_m60_0,-0.48276638914664766
T6,m2_fep5_q1_p1_60,0.316427263303038
T6,m2_fep5_q2_p1_60,-0.06734711705831128
T6,m2_fep5_q3_p1_60,-0.8391247919320438
T6,m2_fep5_q4_p1_60,-0.6703005637894734
T6,m2_fep5_q5_p1_60,-0.4521347722818112
T6,m2_fep6_q1_m1_0,0.6212306605107359
T6,m2_fep6_q2_m1_0,0.3249919900864253
T6,m2_fep6_q3_m1_0,0.24170943245700832
T6,m2_fep6_q4_m1_0,0.2763708553757291
T6,m2_fep6_q5_m1_0,0.15196781466220557
T6,m2_fep6_q1_m60_0,2.1186023865837975
T6,m2_fep6_q2_m60_0,0.9177108098576187
T6,m2_fep6_q3_m60_0,-0.08769356020385588
T6,m2_fep6_q4_m60_0,0.4055581379219014
T6,m2_fep6_q5_m60_0,-0.24810847215328563
T6,m2_fep6_q1_p1_60,1.2959780009994952
T6,m2_fep6_q2_p1_60,0.21580686442902036
T6,m2_fep6_q3_p1_60,-0.6234821833224087
T6,m2_fep6_q4_p1_60,-0.3622329180041234
T6,m2_fep6_q5_p1_60,-0.19597239197471444
T6,m4_fep1_q1_m1_0,-2.66353639056349
T6,m4_fep1_q2_m1_0,-2.2295527001894495
T6,m4_fep1_q3_m1_0,-1.5633758138998668
T6,m4_fep1_q4_m1_0,-1.2356224928042252
T6,m4_fep1_q5_m1_0,-1.000435309409044
T6,m4_fep1_q1_m60_0,-28.761349085986737
T6,m4_fep1_q2_m60_0,-23.658616824868307
T6,m4_fep1_q3_m60_0,-21.024728658458976
T6,m4_fep1_q4_m60_0,-19.494295338335927
T6,m4_fep1_q5_m60_0,-17.237219429850608
T6,m4_fep1_q1_p1_60,-0.7832911403798715
T6,m4_fep1_q2_p1_60,-1.0667310490159805
T6,m4_fep1_q3_p1_60,-0.09157119283919542
T6,m4_fep1_q4_p1_60,-0.6365878497093904
T6,m4_fep1_q5_p1_60,0.9918448266795816
T6,m4_fep2_q1_m1_0,-1.5561706352783675
T6,m4_fep2_q2_m1_0,-1.024589566628173
T6,m4_fep2_q3_m1_0,-0.8500184313728975
T6,m4_fep2_q4_m1_0,-0.596965919198369
T6,m4_fep2_q5_m1_0,-0.4188169173534849
T6,m4_fep2_q1_m60_0,-19.799837378293432
T6,m4_fep2_q2_m60_0,-15.048869487896663
T6,m4_fep2_q3_m60_0,-13.40272935600601
T6,m4_fep2_q4_m60_0,-12.49185489087906
T6,m4_fep2_q5_m60_0,-10.281242580410794
T6,m4_fep2_q1_p1_60,-0.5728371143007903
